city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Casablanca,2026-09-20,30.3,20.5,0.0,0,10.1,29.5,2
Casablanca,2026-09-21,31.3,21.6,0.0,0,11.5,34.2,2
Casablanca,2026-09-22,29.8,19.8,0.0,0,9.6,28.8,45
Tangier,2026-09-20,27.7,23.7,0.0,0,33.8,78.8,2
Tangier,2026-09-21,28.6,22.9,0.0,0,27.7,64.1,1
Tangier,2026-09-22,29.4,21.3,0.0,0,23.5,52.9,3
Fès,2026-09-20,35.7,21.9,0.0,0,14.5,37.4,1
Fès,2026-09-21,35.5,22.3,0.0,0,11.4,29.9,2
Fès,2026-09-22,34.3,20.5,0.0,0,10.0,25.9,1
Marrakech,2026-09-20,37.4,23.6,0.0,18,11.6,34.9,3
Marrakech,2026-09-21,37.8,24.0,0.0,3,15.6,38.9,3
Marrakech,2026-09-22,37.2,20.1,0.0,0,11.5,31.3,0
Sale,2026-09-20,31.5,20.0,0.0,0,10.7,29.9,1
Sale,2026-09-21,31.3,20.5,0.0,0,10.7,29.2,2
Sale,2026-09-22,31.3,19.5,0.0,0,10.6,28.1,1
Meknès,2026-09-20,36.0,20.5,0.0,0,14.9,40.7,2
Meknès,2026-09-21,35.1,21.3,0.0,0,15.6,39.2,2
Meknès,2026-09-22,33.4,18.2,0.0,0,14.0,36.4,1
Rabat,2026-09-20,31.6,20.0,0.0,0,10.7,29.9,1
Rabat,2026-09-21,31.4,20.6,0.0,0,10.7,29.2,2
Rabat,2026-09-22,31.4,19.6,0.0,0,10.6,28.1,1
Agadir,2026-09-20,29.3,22.2,0.0,0,10.0,32.0,45
Agadir,2026-09-21,35.2,22.6,0.0,0,9.7,26.3,3
Agadir,2026-09-22,35.5,26.0,0.0,0,14.5,43.2,1
Kenitra,2026-09-20,36.7,18.6,0.0,0,14.0,34.9,45
Kenitra,2026-09-21,33.9,20.0,0.0,0,11.4,28.8,2
Kenitra,2026-09-22,32.2,19.3,0.0,0,11.0,28.4,2
Oujda-Angad,2026-09-20,29.3,17.7,0.0,20,19.0,38.2,45
Oujda-Angad,2026-09-21,29.0,18.4,0.0,0,21.3,43.6,45
Oujda-Angad,2026-09-22,28.2,13.9,0.0,0,18.1,36.7,45
Tétouan,2026-09-20,26.1,22.9,0.1,0,31.2,71.3,3
Tétouan,2026-09-21,26.3,22.3,0.0,0,23.9,52.6,3
Tétouan,2026-09-22,26.7,20.6,0.0,0,17.0,41.8,3
