city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Casablanca,Casablanca,33.5992,-7.62,Morocco,MA,MAR,Casablanca-Settat,admin,3950000.0,1504175315
Tangier,Tangier,35.7767,-5.8039,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,admin,1275428.0,1504861504
Fès,Fes,34.0433,-5.0033,Morocco,MA,MAR,Fès-Meknès,admin,1167842.0,1504861997
Marrakech,Marrakech,31.6295,-7.9811,Morocco,MA,MAR,Marrakech-Safi,admin,1085330.0,1504172585
Sale,Sale,34.05,-6.8167,Morocco,MA,MAR,Rabat-Salé-Kénitra,,945101.0,1504989034
Meknès,Meknes,33.8833,-5.55,Morocco,MA,MAR,Fès-Meknès,,601000.0,1504333193
Rabat,Rabat,34.0211,-6.8414,Morocco,MA,MAR,Rabat-Salé-Kénitra,primary,572717.0,1504023252
Agadir,Agadir,30.4214,-9.5831,Morocco,MA,MAR,Souss-Massa,admin,538000.0,1504116858
Kenitra,Kenitra,34.25,-6.5833,Morocco,MA,MAR,Rabat-Salé-Kénitra,,507736.0,1504534876
Oujda-Angad,Oujda-Angad,34.6867,-1.9114,Morocco,MA,MAR,Oriental,admin,506224.0,1504891036
Tétouan,Tetouan,35.5667,-5.3667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,422757.0,1504709141
Safi,Safi,32.2833,-9.2333,Morocco,MA,MAR,Marrakech-Safi,,367249.0,1504000717
Taourirt,Taourirt,34.41,-2.89,Morocco,MA,MAR,Oriental,,321876.0,1504648957
Temara,Temara,33.9234,-6.9076,Morocco,MA,MAR,Rabat-Salé-Kénitra,,297098.0,1504016606
Laâyoune,Laayoune,27.15,-13.2,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,262791.0,1504000319
El Jadid,El Jadid,33.2566,-8.5025,Morocco,MA,MAR,Casablanca-Settat,,237464.0,1504964063
Ait Melloul,Ait Melloul,30.3342,-9.4972,Morocco,MA,MAR,Souss-Massa,,210870.0,1504134516
Béni Mellal,Beni Mellal,32.3394,-6.3608,Morocco,MA,MAR,Béni Mellal-Khénifra,admin,209594.0,1504131639
Bouskoura,Bouskoura,33.4489,-7.6486,Morocco,MA,MAR,Casablanca-Settat,,200359.0,1504503306
Tiznit,Tiznit,29.7,-9.7269,Morocco,MA,MAR,Souss-Massa,,196348.0,1504399838
Mohammedia,Mohammedia,33.6833,-7.3833,Morocco,MA,MAR,Casablanca-Settat,,194358.0,1504542634
Kouribga,Kouribga,32.88,-6.9,Morocco,MA,MAR,Béni Mellal-Khénifra,,191807.0,1504325928
Settat,Settat,33.0023,-7.6198,Morocco,MA,MAR,Casablanca-Settat,,171556.0,1504720478
Barrechid,Barrechid,33.27,-7.5872,Morocco,MA,MAR,Casablanca-Settat,,168687.0,1504194885
Ad Dakhla,Ad Dakhla,23.7167,-15.95,Morocco,MA,MAR,Dakhla-Oued Ed-Dahab,,165463.0,1504999983
Nador,Nador,35.1667,-2.9333,Morocco,MA,MAR,Oriental,,161726.0,1504811178
Taza,Taza,34.2144,-4.0088,Morocco,MA,MAR,Fès-Meknès,,148406.0,1504405154
Inezgane,Inezgane,30.3658,-9.5381,Morocco,MA,MAR,Souss-Massa,,137512.0,1504786674
Larache,Larache,35.1833,-6.15,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,133731.0,1504637172
Al Khmissat,Al Khmissat,33.81,-6.06,Morocco,MA,MAR,Rabat-Salé-Kénitra,,131542.0,1504079907
Guelmim,Guelmim,28.9833,-10.0667,Morocco,MA,MAR,Guelmim-Oued Noun,admin,126729.0,1504110861
Ksar El Kebir,Ksar El Kebir,35.0,-5.9,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,124701.0,1504230428
Khénifra,Khenifra,32.93,-5.66,Morocco,MA,MAR,Béni Mellal-Khénifra,,123738.0,1504143530
Skhirate,Skhirate,33.85,-7.03,Morocco,MA,MAR,Rabat-Salé-Kénitra,,122705.0,1504664899
Beni Yakhlef,Beni Yakhlef,33.6555,-7.3221,Morocco,MA,MAR,Casablanca-Settat,,117653.0,1504512130
Sidi Yahya Zaer,Sidi Yahya Zaer,33.7105,-6.8831,Morocco,MA,MAR,Rabat-Salé-Kénitra,,116649.0,1504365068
Ben Guerir,Ben Guerir,32.23,-7.95,Morocco,MA,MAR,Marrakech-Safi,,114872.0,1504909564
Ait Ali,Ait Ali,30.1739,-9.4881,Morocco,MA,MAR,Souss-Massa,,113236.0,1504009062
My Drarga,My Drarga,30.3805,-9.4763,Morocco,MA,MAR,Souss-Massa,,107621.0,1504399163
Lqoliaa,Lqoliaa,30.2942,-9.4544,Morocco,MA,MAR,Souss-Massa,,107133.0,1504675410
El Kelaa des Srarhna,El Kelaa des Srarhna,32.05,-7.4,Morocco,MA,MAR,Marrakech-Safi,,106418.0,1504846488
Moulay Abdallah,Moulay Abdallah,33.1978,-8.5883,Morocco,MA,MAR,Casablanca-Settat,,103993.0,1504563452
Tiflet,Tiflet,33.9,-6.33,Morocco,MA,MAR,Rabat-Salé-Kénitra,,103850.0,1504661999
Oulad Teïma,Oulad Teima,30.4,-9.21,Morocco,MA,MAR,Souss-Massa,,100284.0,1504278611
Berkane,Berkane,34.9167,-2.3167,Morocco,MA,MAR,Oriental,,99069.0,1504282363
Ain El Aouda,Ain El Aouda,33.8111,-6.7922,Morocco,MA,MAR,Rabat-Salé-Kénitra,,98502.0,1504400263
Errachidia,Errachidia,31.9319,-4.4244,Morocco,MA,MAR,Drâa-Tafilalet,admin,97687.0,1504005759
Al Fqih Ben Çalah,Al Fqih Ben Calah,32.507,-6.6886,Morocco,MA,MAR,Béni Mellal-Khénifra,,97380.0,1504975687
Ad Darwa,Ad Darwa,33.4167,-7.5333,Morocco,MA,MAR,Casablanca-Settat,,96619.0,1504000451
Martil,Martil,35.61,-5.27,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,95896.0,1504341023
Sidi Slimane,Sidi Slimane,34.26,-5.93,Morocco,MA,MAR,Rabat-Salé-Kénitra,,95114.0,1504101128
Oued Zem,Oued Zem,32.8619,-6.5711,Morocco,MA,MAR,Béni Mellal-Khénifra,,93776.0,1504098746
Sa’ada,Sa'ada,31.6258,-8.1028,Morocco,MA,MAR,Marrakech-Safi,,91903.0,1504926324
Douar Ain Chkef,Douar Ain Chkef,33.9636,-5.0281,Morocco,MA,MAR,Fès-Meknès,,91541.0,1504020762
Gueznaia,Gueznaia,35.7066,-5.9088,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,88676.0,1504255211
Sefrou,Sefrou,33.83,-4.83,Morocco,MA,MAR,Fès-Meknès,,86903.0,1504820285
Qal’at Mgouna,Qal'at Mgouna,31.2414,-6.1283,Morocco,MA,MAR,Drâa-Tafilalet,,83748.0,1504989758
Taroudannt,Taroudannt,30.4711,-8.8778,Morocco,MA,MAR,Souss-Massa,,83496.0,1504415764
Essaouira,Essaouira,31.513,-9.7687,Morocco,MA,MAR,Marrakech-Safi,,82962.0,1504845522
Azrou,Azrou,33.4344,-5.2213,Morocco,MA,MAR,Fès-Meknès,,81350.0,1504585311
Guercif,Guercif,34.23,-3.36,Morocco,MA,MAR,Oriental,,80703.0,1504842310
Warzat,Warzat,30.9167,-6.9167,Morocco,MA,MAR,Drâa-Tafilalet,,79218.0,1504381507
Fnidq,Fnidq,35.8414,-5.3587,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,77250.0,1504670555
Sidi Taibi,Sidi Taibi,32.16,-8.58,Morocco,MA,MAR,Rabat-Salé-Kénitra,,76227.0,1504376928
Tan-Tan,Tan-Tan,28.4333,-11.1,Morocco,MA,MAR,Guelmim-Oued Noun,,76134.0,1504164174
Sidi Qacem,Sidi Qacem,34.21,-5.7,Morocco,MA,MAR,Rabat-Salé-Kénitra,,75037.0,1504300626
Sidi Bibi,Sidi Bibi,30.2333,-9.5333,Morocco,MA,MAR,Souss-Massa,,72929.0,1504682772
M’diq,M'diq,35.68,-5.32,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,67599.0,1504774869
Benslimane,Benslimane,33.6122,-7.1211,Morocco,MA,MAR,Casablanca-Settat,,67317.0,1504790296
Youssoufia,Youssoufia,32.25,-8.53,Morocco,MA,MAR,Marrakech-Safi,,65669.0,1504459034
Midalt,Midalt,32.68,-4.74,Morocco,MA,MAR,Drâa-Tafilalet,,62648.0,1504279379
Aïn Harrouda,Ain Harrouda,33.6372,-7.4483,Morocco,MA,MAR,Casablanca-Settat,,60804.0,1504718611
Souq Sebt Oulad Nemma,Souq Sebt Oulad Nemma,32.3,-6.7,Morocco,MA,MAR,Béni Mellal-Khénifra,,60293.0,1504194496
Mehdya,Mehdya,34.2557,-6.6745,Morocco,MA,MAR,Rabat-Salé-Kénitra,,58558.0,1504438304
Ouezzane,Ouezzane,34.8,-5.6,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,57737.0,1504736892
